540000  西藏自治区	1
540232100000	帕羊镇	4
540232200000	拉让乡	4
540232201000	琼果乡	4
540232202000	亚热乡	4
540232203000	布多乡	4
540232204000	偏吉乡	4
540232205000	纳久乡	4
540232206000	吉拉乡	4
540232207000	霍尔巴乡	4
540232208000	隆格尔乡	4
540232209000	吉玛乡	4
540232210000	仁多乡	4
540232211000	帕江乡	4
540233000000	亚东县	3
540233100000	下司马镇	4
540233101000	帕里镇	4
540233200000	下亚东乡	4
540233201000	上亚东乡	4
540233202000	康布乡	4
540233203000	堆纳乡	4
540233204000	吉汝乡	4
540234000000	吉隆县	3
540234100000	宗嘎镇	4
540234101000	吉隆镇	4
540234200000	差那乡	4
540234201000	折巴乡	4
540234202000	贡当乡	4
540234203000	萨勒乡	4
540235000000	聂拉木县	3
540235100000	聂拉木镇	4
540235101000	樟木镇	4
540235200000	亚来乡	4
540235201000	锁作乡	4
540235202000	乃龙乡	4
540235203000	门布乡	4
540235204000	波绒乡	4
540236000000	萨嘎县	3
540236100000	加加镇	4
540236200000	昌果乡	4
540236201000	雄如乡	4
540236202000	拉藏乡	4
540236203000	如角乡	4
540236204000	达吉岭乡	4
540236205000	旦嘎乡	4
540236206000	夏如乡	4
540237000000	岗巴县	3
540237100000	岗巴镇	4
540237200000	昌龙乡	4
540237201000	直克乡	4
540237202000	孔玛乡	4
540237203000	龙中乡	4
540300000000	昌都市	2
540302000000	卡若区	3
540302100000	城关镇	4
540302101000	俄洛镇	4
540302102000	卡若镇	4
540302200000	芒达乡	4
540302201000	约巴乡	4
540302202000	妥坝乡	4
540302203000	拉多乡	4
540302204000	面达乡	4
540302205000	嘎玛乡	4
540302206000	柴维乡	4
540302207000	日通乡	4
540302208000	如意乡	4
540302209000	埃西乡	4
540302210000	若巴乡	4
540302211000	沙贡乡	4
540321000000	江达县	3
540321100000	江达镇	4
540321101000	岗托镇	4
540321200000	卡贡乡	4
540321201000	岩比乡	4
540321202000	邓柯乡	4
540321203000	生达乡	4
540321204000	娘西乡	4
540321205000	字嘎乡	4
540321206000	青泥洞乡	4
540321207000	汪布顶乡	4
540321208000	德登乡	4
540321209000	同普乡	4
540321210000	波罗乡	4
540322000000	贡觉县	3
540322100000	莫洛镇	4
540322200000	相皮乡	4
540322201000	哈加乡	4
540322202000	雄松乡	4
540322203000	拉妥乡	4
540322204000	阿旺乡	4
540322205000	木协乡	4
540322206000	罗麦乡	4
540322207000	沙东乡	4
540322208000	克日乡	4
540322209000	则巴乡	4
540322210000	敏都乡	4
540323000000	类乌齐县	3
540323100000	类乌齐镇	4
540323101000	桑多镇	4
540323200000	甲桑卡乡	4
540323201000	长毛岭乡	4
540323202000	岗色乡	4
540323203000	吉多乡	4
540323204000	宾达乡	4
540323205000	卡玛多乡	4
540323206000	尚卡乡	4
540323207000	伊日乡	4
540324000000	丁青县	3
540324100000	丁青镇	4
540324101000	尺犊镇	4
540324200000	觉恩乡	4
540324201000	沙贡乡	4
540324202000	当堆乡	4
540324203000	桑多乡	4
540324204000	木塔乡	4
540324205000	布塔乡	4
540324206000	巴达乡	4
540324207000	甘岩乡	4
540324208000	嘎塔乡	4
540324209000	色扎乡	4
540324210000	协雄乡	4
540325000000	察雅县	3
540325100000	烟多镇	4
540325101000	香堆镇	4
540325102000	吉塘镇	4
540325200000	宗沙乡	4
540325201000	卡贡乡	4
540325202000	荣周乡	4
540325203000	巴日乡	4
540325204000	阿孜乡	4
540325205000	王卡乡	4
540325206000	新卡乡	4
540325207000	肯通乡	4
540325208000	扩达乡	4
540325209000	察拉乡	4
540326000000	八宿县	3
540326100000	白玛镇	4
540326101000	帮达镇	4
540326102000	然乌镇	4
540326103000	同卡镇	4
540326202000	郭庆乡	4
540326203000	拉根乡	4
540326204000	益庆乡	4
540326205000	吉中乡	4
540326206000	卡瓦白庆乡	4
540326207000	吉达乡	4
540326208000	夏里乡	4
540326209000	拥乡	4
540326210000	瓦乡	4
540326211000	林卡乡	4
540327000000	左贡县	3
540327100000	旺达镇	4
540327101000	田妥镇	4
540327102000	扎玉镇	4
540327203000	东坝乡	4
540327204000	仁果乡	4
540327207000	绕金乡	4
540327208000	碧土乡	4
540327210000	美玉乡	4
540327211000	中林卡乡	4
540327212000	下林卡乡	4
540328000000	芒康县	3
540328100000	嘎托镇	4
540328101000	如美镇	4
540328200000	索多西乡	4
540328201000	莽岭乡	4
540328202000	宗西乡	4
540328203000	昂多乡	4
540328204000	措瓦乡	4
540328205000	洛尼乡	4
540328206000	戈波乡	4
540328207000	帮达乡	4
540328208000	徐中乡	4
540328209000	曲登乡	4
540328210000	木许乡	4
540328211000	纳西民族乡	4
540328212000	竹巴龙乡	4
540328213000	曲孜卡乡	4
540329000000	洛隆县	3
540329100000	孜托镇	4
540329101000	硕督镇	4
540329111000	康沙镇	4
540329112000	马利镇	4
540329200000	达龙乡	4
540329201000	新荣乡	4
540329202000	白达乡	4
540329203000	玉西乡	4
540329204000	腊久乡	4
540329205000	俄西乡	4
540329206000	中亦乡	4
540330000000	边坝县	3
540330100000	边坝镇	4
540330101000	草卡镇	4
540330201000	沙丁乡	4
540330202000	金岭乡	4
540330203000	加贡乡	4
540330204000	马武乡	4
540330205000	热玉乡	4
540330206000	尼木乡	4
540330207000	马秀乡	4
540330208000	拉孜乡	4
540330209000	都瓦乡	4
540400000000	林芝市	2
540402000000	巴宜区	3
540402001000	白玛岗街道	4
540402002000	觉木街道	4
540402100000	林芝镇	4
540402101000	百巴镇	4
540402102000	八一镇	4
540402103000	鲁朗镇	4
540402200000	更章门巴民族乡	4
540402202000	布久乡	4
540402203000	米瑞乡	4
540421000000	工布江达县	3
540421100000	工布江达镇	4
540421101000	金达镇	4
540421102000	巴河镇	4
540421200000	朱拉乡	4
540421201000	错高乡	4
540421202000	仲莎乡	4
540421203000	江达乡	4
540421204000	娘蒲乡	4
540421205000	加兴乡	4
540422000000	米林县	3
540422100000	米林镇	4
540422101000	派镇	4
540422102000	卧龙镇	4
540422200000	丹娘乡	4
540422201000	南伊珞巴民族乡	4
540422202000	扎西绕登乡	4
540422203000	里龙乡	4
540422204000	羌纳乡	4
540423000000	墨脱县	3
540423100000	墨脱镇	4
540423200000	加热萨乡	4
540423201000	甘登乡	4
540423202000	达木珞巴民族乡	4
540423203000	帮辛乡	4
540423204000	格当乡	4
540423205000	德兴乡	4
540423206000	背崩乡	4
540424000000	波密县	3
540424100000	扎木镇	4
540424101000	倾多镇	4
540424102000	松宗镇	4
540424200000	易贡乡	4
540424201000	玉普乡	4
540424202000	康玉乡	4
540424203000	多吉乡	4
540424204000	玉许乡	4
540424205000	八盖乡	4
540424207000	古乡	4
540425000000	察隅县	3
540425100000	竹瓦根镇	4
540425101000	上察隅镇	4
540425102000	下察隅镇	4
540425200000	察瓦龙乡	4
540425201000	古拉乡	4
540425202000	古玉乡	4
540426000000	朗县	3
540426100000	朗镇	4
540426101000	仲达镇	4
540426102000	洞嘎镇	4
540426200000	拉多乡	4
540426201000	金东乡	4
540426202000	登木乡	4
540500000000	山南市	2
540501000000	市辖区	3
540502000000	乃东区	3
540502001000	泽当街道	4
540502101000	昌珠镇	4
540502200000	亚堆乡	4
540502201000	索珠乡	4
540502202000	多颇章乡	4
540502203000	结巴乡	4
540502204000	颇章乡	4
540521000000	扎囊县	3
540521100000	扎塘镇	4
540521101000	桑耶镇	4
540521200000	扎其乡	4
540521201000	阿扎乡	4
540521202000	吉汝乡	4
540522000000	贡嘎县	3
540522100000	吉雄镇	4
540522101000	甲竹林镇	4
540522102000	杰德秀镇	4
540522103000	岗堆镇	4
540522104000	江塘镇	4
540522200000	朗杰学乡	4
540522201000	昌果乡	4
540522205000	东拉乡	4
540522206000	克西乡	4
540523000000	桑日县	3
540523100000	桑日镇	4
540523200000	增期乡	4
540523201000	白堆乡	4
540523202000	绒乡	4
540524000000	琼结县	3
540524100000	琼结镇	4
540524200000	加麻乡	4
540524201000	下水乡	4
540524202000	拉玉乡	4
540525000000	曲松县	3
540525100000	曲松镇	4
540525101000	罗布沙镇	4
540525200000	下江乡	4
540525201000	邱多江乡	4
540525202000	堆随乡	4
540526000000	措美县	3
540526100000	措美镇	4
540526101000	哲古镇	4
540526200000	乃西乡	4
540526201000	古堆乡	4
540527000000	洛扎县	3
540527100000	洛扎镇	4
540527101000	拉康镇	4
540527201000	扎日乡	4
540527202000	色乡	4
540527203000	生格乡	4
540527204000	边巴乡	4
540527205000	拉郊乡	4
540528000000	加查县	3
540528100000	加查镇	4
540528101000	安绕镇	4
540528200000	拉绥乡	4
540528201000	崔久乡	4
540528202000	坝乡	4
540528203000	冷达乡	4
540528204000	洛林乡	4
540529000000	隆子县	3
540529100000	隆子镇	4
540529101000	日当镇	4
540529200000	列麦乡	4
540529201000	热荣乡	4
540529202000	三安曲林乡	4
540529203000	准巴乡	4
540529204000	雪萨乡	4
540529205000	扎日乡	4
540529206000	玉麦乡	4
540529207000	加玉乡	4
540529208000	斗玉珞巴民族乡	4
540530000000	错那县	3
540530100000	错那镇	4
540530200000	卡达乡	4
540530201000	觉拉乡	4
540530202000	浪坡乡	4
540530203000	曲卓木乡	4
540530204000	库局乡	4
540530205000	麻麻门巴民族乡	4
540530206000	贡日门巴民族乡	4
540530207000	吉巴门巴民族乡	4
540530208000	勒门巴民族乡	4
540531000000	浪卡子县	3
540531100000	浪卡子镇	4
540531101000	打隆镇	4
540531200000	张达乡	4
540531201000	伦布雪乡	4
540531202000	多却乡	4
540531203000	普玛江塘乡	4
540531204000	阿扎乡	4
540531205000	卡龙乡	4
540531206000	白地乡	4
540531207000	卡热乡	4
540600000000	那曲市	2
540602000000	色尼区	3
540602100000	那曲镇	4
540602101000	罗玛镇	4
540602102000	古露镇	4
540602200000	达萨乡	4
540602202000	油恰乡	4
540602203000	香茂乡	4
540602205000	那么切乡	4
540602209000	达前乡	4
540602210000	劳麦乡	4
540602211000	孔玛乡	4
540602213000	尼玛乡	4
540602217000	色雄乡	4
540621000000	嘉黎县	3
540621100000	阿扎镇	4
540621101000	嘉黎镇	4
540621201000	忠玉乡	4
540621202000	藏比乡	4
540621203000	措多乡	4
540621204000	夏玛乡	4
540621206000	林堤乡	4
540621207000	措拉乡	4
540621209000	绒多乡	4
540621210000	鸽群乡	4
540622000000	比如县	3
540622100000	比如镇	4
540622101000	夏曲镇	4
540622201000	白嘎乡	4
540622202000	达塘乡	4
540622203000	恰则乡	4
540622204000	扎拉乡	4
540622207000	羊秀乡	4
540622208000	香曲乡	4
540622209000	良曲乡	4
540622210000	茶曲乡	4
540623000000	聂荣县	3
540623100000	聂荣镇	4
540623201000	尼玛乡	4
540623203000	色庆乡	4
540623205000	桑荣乡	4
540623206000	下曲乡	4
540623207000	白雄乡	4
540623208000	索雄乡	4
540623210000	当木江乡	4
540623211000	查当乡	4
540623212000	永曲乡	4
540624000000	安多县	3
540624100000	帕那镇	4
540624101000	强玛镇	4
540624102000	扎仁镇	4
540624103000	雁石坪镇	4
540624201000	多玛乡	4
540624202000	玛曲乡	4
540624205000	滩堆乡	4
540624207000	帮爱乡	4
540624209000	玛荣乡	4
540624210000	扎曲乡	4
540624211000	色务乡	4
540624212000	措玛乡	4
540624213000	岗尼乡	4
540625000000	申扎县	3
540625100000	申扎镇	4
540625101000	雄梅镇	4
540625201000	下过乡	4
540625202000	卡乡	4
540625203000	巴扎乡	4
540625204000	塔尔玛乡	4
540625206000	买巴乡	4
540625207000	马跃乡	4
540626000000	索县	3
540626100000	亚拉镇	4
540626101000	荣布镇	4
540626201000	若达乡	4
540626202000	加勤乡	4
540626203000	赤多乡	4
540626205000	西昌乡	4
540626206000	江达乡	4
540626208000	热瓦乡	4
540626209000	嘎美乡	4
540626210000	嘎木乡	4
540627000000	班戈县	3
540627100000	普保镇	4
540627101000	北拉镇	4
540627102000	德庆镇	4
540627103000	佳琼镇	4
540627205000	尼玛乡	4
540627207000	保吉乡	4
540627209000	青龙乡	4
540627211000	马前乡	4
540627215000	门当乡	4
540627216000	新吉乡	4
540628000000	巴青县	3
540628100000	拉西镇	4
540628101000	杂色镇	4
540628102000	雅安镇	4
540628201000	江绵乡	4
540628202000	玛如乡	4
540628204000	阿秀乡	4
540628205000	贡日乡	4
540628206000	岗切乡	4
540628210000	巴青乡	4
540628211000	本塔乡	4
540629000000	尼玛县	3
540629100000	尼玛镇	4
540629201000	卓尼乡	4
540629202000	达果乡	4
540629203000	阿索乡	4
540629204000	荣玛乡	4
540629205000	中仓乡	4
540629206000	来多乡	4
540629207000	申亚乡	4
540629208000	卓瓦乡	4
540629209000	俄久乡	4
540629210000	文部乡	4
540629211000	甲谷乡	4
540629212000	军仓乡	4
540629219000	吉瓦乡	4
540630000000	双湖县	3
540630101000	措折罗玛镇	4
540630200000	协德乡	4
540630201000	雅曲乡	4
540630202000	嘎措乡	4
540630203000	措折强玛乡	4
540630204000	多玛乡	4
540630205000	巴岭乡	4
542500000000	阿里地区	2
542521000000	普兰县	3
542521100000	普兰镇	4
542521200000	巴嘎乡	4
542521201000	霍尔乡	4
542522000000	札达县	3
542522100000	托林镇	4
542522200000	萨让乡	4
542522201000	达巴乡	4
542522202000	底雅乡	4
542522203000	香孜乡	4
542522204000	曲松乡	4
542522205000	楚鲁松杰乡	4
542523000000	噶尔县	3
542523100000	狮泉河镇	4
542523200000	昆莎乡	4
542523201000	左左乡	4
542523202000	门士乡	4
542523203000	扎西岗乡	4
542524000000	日土县	3
542524100000	日土镇	4
542524200000	热帮乡	4
542524201000	日松乡	4
542524202000	东汝乡	4
542524203000	多玛乡	4
542525000000	革吉县	3
542525100000	革吉镇	4
542525200000	雄巴乡	4
542525201000	亚热乡	4
542525202000	盐湖乡	4
542525203000	文布当桑乡	4
542526000000	改则县	3
542526100000	改则镇	4
542526200000	物玛乡	4
542526201000	先遣乡	4
542526202000	麻米乡	4
542526203000	洞措乡	4
542526204000	古姆乡	4
542526205000	察布乡	4
542527000000	措勤县	3
542527100000	措勤镇	4
542527200000	磁石乡	4
542527201000	曲洛乡	4
542527202000	江让乡	4
542527203000	达雄乡	4
