330000  浙江省	1
330822000000	常山县	3
330822001000	天马街道	4
330822002000	紫港街道	4
330822003000	金川街道	4
330822104000	白石镇	4
330822108000	招贤镇	4
330822109000	青石镇	4
330822111000	球川镇	4
330822115000	辉埠镇	4
330822116000	芳村镇	4
330822200000	何家乡	4
330822211000	同弓乡	4
330822213000	大桥头乡	4
330822219000	新昌乡	4
330822221000	东案乡	4
330824000000	开化县	3
330824106000	桐村镇	4
330824107000	杨林镇	4
330824108000	苏庄镇	4
330824109000	齐溪镇	4
330824113000	村头镇	4
330824115000	华埠镇	4
330824116000	马金镇	4
330824117000	池淮镇	4
330824202000	中村乡	4
330824205000	长虹乡	4
330824208000	何田乡	4
330824216000	林山乡	4
330824217000	音坑乡	4
330824218000	大溪边乡	4
330825000000	龙游县	3
330825001000	龙洲街道	4
330825002000	东华街道	4
330825101000	湖镇镇	4
330825102000	小南海镇	4
330825106000	詹家镇	4
330825109000	溪口镇	4
330825110000	横山镇	4
330825111000	塔石镇	4
330825201000	罗家乡	4
330825203000	庙下乡	4
330825207000	石佛乡	4
330825209000	社阳乡	4
330825211000	大街乡	4
330825212000	沐尘畲族乡	4
330825213000	模环乡	4
330881000000	江山市	3
330881001000	双塔街道	4
330881002000	虎山街道	4
330881003000	清湖街道	4
330881102000	四都镇	4
330881105000	坛石镇	4
330881106000	大桥镇	4
330881109000	新塘边镇	4
330881112000	廿八都镇	4
330881113000	长台镇	4
330881116000	上余镇	4
330881118000	凤林镇	4
330881119000	峡口镇	4
330881120000	石门镇	4
330881121000	贺村镇	4
330881201000	大陈乡	4
330881203000	碗窑乡	4
330881207000	保安乡	4
330881213000	塘源口乡	4
330881214000	张村乡	4
330900000000	舟山市	2
330901000000	市辖区	3
330902000000	定海区	3
330902002000	昌国街道	4
330902003000	环南街道	4
330902004000	城东街道	4
330902005000	盐仓街道	4
330902006000	临城街道	4
330902007000	岑港街道	4
330902008000	马岙街道	4
330902009000	双桥街道	4
330902010000	小沙街道	4
330902050000	千岛街道	4
330902100000	金塘镇	4
330902104000	白泉镇	4
330902105000	干览镇	4
330903000000	普陀区	3
330903001000	沈家门街道	4
330903003000	东港街道	4
330903004000	朱家尖街道	4
330903005000	展茅街道	4
330903100000	六横镇	4
330903102000	虾峙镇	4
330903104000	桃花镇	4
330903105000	东极镇	4
330903106000	普陀山镇	4
330921000000	岱山县	3
330921100000	高亭镇	4
330921101000	东沙镇	4
330921102000	岱东镇	4
330921103000	岱西镇	4
330921105000	长涂镇	4
330921106000	衢山镇	4
330921200000	秀山乡	4
330922000000	嵊泗县	3
330922100000	菜园镇	4
330922101000	嵊山镇	4
330922102000	洋山镇	4
330922200000	五龙乡	4
330922201000	黄龙乡	4
330922202000	枸杞乡	4
330922203000	花鸟乡	4
331000000000	台州市	2
331001000000	市辖区	3
331002000000	椒江区	3
331002001000	海门街道	4
331002002000	白云街道	4
331002003000	葭沚街道	4
331002004000	洪家街道	4
331002005000	三甲街道	4
331002006000	下陈街道	4
331002007000	前所街道	4
331002008000	章安街道	4
331002101000	大陈镇	4
331002400000	椒江农场	4
331002401000	滨海工业区	4
331002402000	月湖新城	4
331003000000	黄岩区	3
331003001000	东城街道	4
331003002000	南城街道	4
331003003000	西城街道	4
331003004000	北城街道	4
331003005000	新前街道	4
331003006000	澄江街道	4
331003007000	江口街道	4
331003008000	高桥街道	4
331003101000	宁溪镇	4
331003102000	北洋镇	4
331003103000	头陀镇	4
331003107000	院桥镇	4
331003108000	沙埠镇	4
331003200000	屿头乡	4
331003201000	上郑乡	4
331003202000	富山乡	4
331003203000	茅畲乡	4
331003204000	上垟乡	4
331003205000	平田乡	4
331004000000	路桥区	3
331004001000	路南街道	4
331004002000	路桥街道	4
331004003000	路北街道	4
331004004000	螺洋街道	4
331004005000	桐屿街道	4
331004006000	峰江街道	4
331004103000	新桥镇	4
331004104000	横街镇	4
331004106000	金清镇	4
331004107000	蓬街镇	4
331004400000	滨海工业城	4
331004401000	滨海新区	4
331022000000	三门县	3
331022001000	海游街道	4
331022002000	海润街道	4
331022003000	沙柳街道	4
331022102000	珠岙镇	4
331022103000	亭旁镇	4
331022105000	健跳镇	4
331022106000	横渡镇	4
331022107000	浦坝港镇	4
331022108000	花桥镇	4
331022205000	蛇蟠乡	4
331023000000	天台县	3
331023001000	赤城街道	4
331023002000	始丰街道	4
331023003000	福溪街道	4
331023101000	白鹤镇	4
331023102000	石梁镇	4
331023104000	街头镇	4
331023105000	平桥镇	4
331023106000	坦头镇	4
331023107000	三合镇	4
331023108000	洪畴镇	4
331023200000	三州乡	4
331023203000	龙溪乡	4
331023204000	雷峰乡	4
331023207000	南屏乡	4
331023209000	泳溪乡	4
331024000000	仙居县	3
331024001000	安洲街道	4
331024002000	南峰街道	4
331024003000	福应街道	4
331024101000	横溪镇	4
331024102000	埠头镇	4
331024103000	白塔镇	4
331024104000	田市镇	4
331024105000	官路镇	4
331024106000	下各镇	4
331024107000	朱溪镇	4
331024200000	安岭乡	4
331024201000	溪港乡	4
331024202000	湫山乡	4
331024203000	淡竹乡	4
331024204000	皤滩乡	4
331024205000	上张乡	4
331024206000	步路乡	4
331024207000	广度乡	4
331024209000	大战乡	4
331024210000	双庙乡	4
331081000000	温岭市	3
331081001000	太平街道	4
331081002000	城东街道	4
331081003000	城西街道	4
331081004000	城北街道	4
331081005000	横峰街道	4
331081100000	泽国镇	4
331081101000	大溪镇	4
331081102000	松门镇	4
331081103000	箬横镇	4
331081104000	新河镇	4
331081105000	石塘镇	4
331081106000	滨海镇	4
331081107000	温峤镇	4
331081108000	城南镇	4
331081109000	石桥头镇	4
331081110000	坞根镇	4
331081400000	东部新区	4
331082000000	临海市	3
331082001000	古城街道	4
331082002000	大洋街道	4
331082003000	江南街道	4
331082004000	大田街道	4
331082005000	邵家渡街道	4
331082100000	汛桥镇	4
331082101000	东塍镇	4
331082103000	汇溪镇	4
331082104000	小芝镇	4
331082105000	河头镇	4
331082106000	白水洋镇	4
331082107000	括苍镇	4
331082108000	永丰镇	4
331082109000	尤溪镇	4
331082110000	涌泉镇	4
331082111000	沿江镇	4
331082112000	杜桥镇	4
331082113000	上盘镇	4
331082114000	桃渚镇	4
331083000000	玉环市	3
331083001000	玉城街道	4
331083002000	坎门街道	4
331083003000	大麦屿街道	4
331083101000	清港镇	4
331083102000	楚门镇	4
331083103000	干江镇	4
331083105000	沙门镇	4
331083106000	芦浦镇	4
331083107000	龙溪镇	4
331083201000	鸡山乡	4
331083202000	海山乡	4
331083400000	玉环经济开发区	4
331100000000	丽水市	2
331101000000	市辖区	3
331102000000	莲都区	3
331102001000	紫金街道	4
331102002000	岩泉街道	4
331102003000	万象街道	4
331102004000	白云街道	4
331102007000	联城街道	4
331102008000	南明山街道	4
331102100000	碧湖镇	4
331102102000	大港头镇	4
331102103000	老竹畲族镇	4
331102104000	雅溪镇	4
331102200000	太平乡	4
331102201000	仙渡乡	4
331102202000	峰源乡	4
331102204000	丽新畲族乡	4
331102206000	黄村乡	4
331121000000	青田县	3
331121001000	鹤城街道	4
331121002000	瓯南街道	4
331121003000	油竹街道	4
331121004000	三溪口街道	4
331121101000	温溪镇	4
331121102000	东源镇	4
331121103000	高湖镇	4
331121104000	船寮镇	4
331121105000	海口镇	4
331121106000	腊口镇	4
331121107000	北山镇	4
331121108000	山口镇	4
331121109000	仁庄镇	4
331121110000	祯埠镇	4
331121200000	万山乡	4
331121201000	黄垟乡	4
331121202000	季宅乡	4
331121203000	高市乡	4
331121204000	海溪乡	4
331121205000	章村乡	4
331121206000	祯旺乡	4
331121208000	舒桥乡	4
331121209000	巨浦乡	4
331121211000	万阜乡	4
331121212000	方山乡	4
331121213000	汤垟乡	4
331121214000	贵岙乡	4
331121215000	小舟山乡	4
331121216000	吴坑乡	4
331121217000	仁宫乡	4
331121218000	章旦乡	4
331121219000	阜山乡	4
331122000000	缙云县	3
331122001000	五云街道	4
331122002000	新碧街道	4
331122003000	仙都街道	4
331122101000	壶镇镇	4
331122102000	新建镇	4
331122103000	舒洪镇	4
331122105000	大洋镇	4
331122106000	东渡镇	4
331122107000	东方镇	4
331122108000	大源镇	4
331122203000	七里乡	4
331122206000	前路乡	4
331122207000	三溪乡	4
331122208000	溶江乡	4
331122209000	双溪口乡	4
331122210000	胡源乡	4
331122211000	方溪乡	4
331122212000	石笕乡	4
331123000000	遂昌县	3
331123001000	妙高街道	4
331123002000	云峰街道	4
331123102000	新路湾镇	4
331123103000	北界镇	4
331123104000	金竹镇	4
331123105000	大柘镇	4
331123106000	石练镇	4
331123107000	王村口镇	4
331123108000	黄沙腰镇	4
331123200000	三仁畲族乡	4
331123201000	濂竹乡	4
331123202000	应村乡	4
331123203000	高坪乡	4
331123204000	湖山乡	4
331123205000	蔡源乡	4
331123206000	焦滩乡	4
331123207000	龙洋乡	4
331123208000	柘岱口乡	4
331123209000	西畈乡	4
331123210000	垵口乡	4
331124000000	松阳县	3
331124001000	西屏街道	4
331124002000	水南街道	4
331124003000	望松街道	4
331124101000	古市镇	4
331124102000	玉岩镇	4
331124103000	象溪镇	4
331124104000	大东坝镇	4
331124105000	新兴镇	4
331124201000	叶村乡	4
331124202000	斋坛乡	4
331124203000	三都乡	4
331124204000	竹源乡	4
331124205000	四都乡	4
331124206000	赤寿乡	4
331124208000	樟溪乡	4
331124211000	枫坪乡	4
331124212000	板桥畲族乡	4
331124213000	裕溪乡	4
331124214000	安民乡	4
331125000000	云和县	3
331125001000	浮云街道	4
331125002000	元和街道	4
331125003000	白龙山街道	4
331125004000	凤凰山街道	4
331125105000	崇头镇	4
331125106000	石塘镇	4
331125107000	紧水滩镇	4
331125201000	雾溪畲族乡	4
331125202000	安溪畲族乡	4
331125206000	赤石乡	4
331126000000	庆元县	3
331126001000	松源街道	4
331126002000	濛洲街道	4
331126003000	屏都街道	4
331126101000	黄田镇	4
331126102000	竹口镇	4
331126104000	荷地镇	4
331126105000	左溪镇	4
331126106000	贤良镇	4
331126107000	百山祖镇	4
331126200000	岭头乡	4
331126201000	五大堡乡	4
331126202000	淤上乡	4
331126203000	安南乡	4
331126204000	张村乡	4
331126205000	隆宫乡	4
331126206000	举水乡	4
331126207000	江根乡	4
331126209000	龙溪乡	4
331126211000	官塘乡	4
331127000000	景宁畲族自治县	3
331127001000	红星街道	4
331127002000	鹤溪街道	4
331127101000	渤海镇	4
331127102000	东坑镇	4
331127103000	英川镇	4
331127104000	沙湾镇	4
331127201000	大均乡	4
331127202000	澄照乡	4
331127203000	梅岐乡	4
331127205000	郑坑乡	4
331127208000	大漈乡	4
331127209000	景南乡	4
331127210000	雁溪乡	4
331127212000	鸬鹚乡	4
331127213000	梧桐乡	4
331127214000	标溪乡	4
331127215000	毛垟乡	4
331127216000	秋炉乡	4
331127217000	大地乡	4
331127218000	家地乡	4
331127219000	九龙乡	4
331181000000	龙泉市	3
331181001000	龙渊街道	4
331181002000	西街街道	4
331181003000	剑池街道	4
331181004000	石达石街道	4
331181100000	八都镇	4
331181101000	上垟镇	4
331181102000	小梅镇	4
331181103000	查田镇	4
331181104000	安仁镇	4
331181105000	锦溪镇	4
331181106000	住龙镇	4
331181107000	屏南镇	4
331181200000	兰巨乡	4
331181202000	宝溪乡	4
331181203000	竹垟畲族乡	4
331181204000	道太乡	4
331181205000	岩樟乡	4
331181206000	城北乡	4
331181207000	龙南乡	4
