220000  吉林省	1
220211001000	泰山街道	4
220211002000	江南街道	4
220211003000	石井街道	4
220211004000	沿丰街道	4
220211005000	丰满街道	4
220211071000	红旗街道	4
220211100000	旺起镇	4
220211200000	江南乡	4
220211201000	前二道乡	4
220211270000	小白山乡	4
220221000000	永吉县	3
220221100000	口前镇	4
220221101000	双河镇	4
220221102000	西阳镇	4
220221103000	北大湖镇	4
220221104000	一拉溪镇	4
220221171000	万昌镇	4
220221172000	永吉经济开发区特殊乡镇	4
220221200000	金家乡	4
220221201000	黄榆乡	4
220271000000	吉林经济开发区	3
220271001000	九站街道	4
220271013000	双吉街道	4
220272000000	吉林高新技术产业开发区	3
220272001000	高新街道	4
220272002000	新北街道	4
220273000000	吉林中国新加坡食品区	3
220273100000	岔路河镇	4
220281000000	蛟河市	3
220281001000	民主街道	4
220281002000	长安街道	4
220281003000	河南街道	4
220281004000	奶子山街道	4
220281005000	拉法街道	4
220281006000	河北街道	4
220281007000	新农街道	4
220281100000	新站镇	4
220281101000	天岗镇	4
220281102000	白石山镇	4
220281103000	漂河镇	4
220281104000	黄松甸镇	4
220281105000	天北镇	4
220281106000	松江镇	4
220281107000	庆岭镇	4
220281200000	乌林朝鲜族乡	4
220281201000	前进乡	4
220282000000	桦甸市	3
220282001000	明桦街道	4
220282002000	永吉街道	4
220282003000	胜利街道	4
220282004000	新华街道	4
220282005000	启新街道	4
220282100000	夹皮沟镇	4
220282101000	二道甸子镇	4
220282102000	红石砬子镇	4
220282103000	八道河子镇	4
220282104000	常山镇	4
220282105000	金沙镇	4
220282200000	桦郊乡	4
220282201000	横道河子乡	4
220282204000	公吉乡	4
220283000000	舒兰市	3
220283001000	北城街道	4
220283002000	南城街道	4
220283003000	环城街道	4
220283004000	吉舒街道	4
220283005000	滨河街道	4
220283100000	法特镇	4
220283101000	白旗镇	4
220283102000	溪河镇	4
220283103000	朝阳镇	4
220283104000	小城镇	4
220283105000	上营镇	4
220283106000	水曲柳镇	4
220283107000	平安镇	4
220283108000	金马镇	4
220283109000	开原镇	4
220283200000	莲花乡	4
220283201000	亮甲山乡	4
220283202000	新安乡	4
220283203000	七里乡	4
220283204000	天德乡	4
220284000000	磐石市	3
220284001000	福安街道	4
220284002000	东宁街道	4
220284003000	河南街道	4
220284070000	磐石经济开发区特殊街道	4
220284100000	烟筒山镇	4
220284101000	红旗岭镇	4
220284102000	明城镇	4
220284103000	石嘴镇	4
220284104000	驿马镇	4
220284105000	牛心镇	4
220284106000	呼兰镇	4
220284107000	吉昌镇	4
220284108000	松山镇	4
220284109000	黑石镇	4
220284110000	朝阳山镇	4
220284111000	富太镇	4
220284112000	取柴河镇	4
220284200000	宝山乡	4
220300000000	四平市	2
220301000000	市辖区	3
220302000000	铁西区	3
220302001000	仁兴街道	4
220302002000	英雄街道	4
220302003000	站前街道	4
220302004000	北沟街道	4
220302005000	地直街道	4
220302200000	平西乡	4
220302400000	红嘴高新技术开发区	4
220303000000	铁东区	3
220303001000	四平市铁东区平东街道	4
220303002000	四平市铁东区北市场街道	4
220303003000	四平市铁东区七马路街道	4
220303004000	四平市铁东区四马路街道	4
220303005000	四平市铁东区解放街道	4
220303006000	四平市铁东区北门街道	4
220303007000	四平市铁东区黄土坑街道	4
220303008000	四平市铁东区平南街道	4
220303100000	四平市铁东区山门镇	4
220303101000	四平市铁东区石岭镇	4
220303102000	四平市铁东区叶赫满族镇	4
220303200000	四平市铁东区城东乡	4
220303403000	四平经济开发区特殊乡镇	4
220322000000	梨树县	3
220322001000	富强街道	4
220322002000	康平街道	4
220322003000	霍家店街道	4
220322100000	梨树镇	4
220322101000	郭家店镇	4
220322102000	榆树台镇	4
220322103000	孤家子镇	4
220322104000	小城子镇	4
220322105000	喇嘛甸镇	4
220322106000	蔡家镇	4
220322107000	刘家馆子镇	4
220322108000	十家堡镇	4
220322109000	孟家岭镇	4
220322110000	万发镇	4
220322111000	东河镇	4
220322112000	沈洋镇	4
220322113000	林海镇	4
220322114000	小宽镇	4
220322200000	白山乡	4
220322201000	泉眼岭乡	4
220322202000	胜利乡	4
220322203000	四棵树乡	4
220322204000	双河乡	4
220322205000	金山乡	4
220323000000	伊通满族自治县	3
220323001000	永盛街道	4
220323002000	永宁街道	4
220323100000	伊通镇	4
220323101000	二道镇	4
220323102000	伊丹镇	4
220323103000	马鞍镇	4
220323104000	景台镇	4
220323105000	靠山镇	4
220323106000	大孤山镇	4
220323107000	小孤山镇	4
220323108000	营城子镇	4
220323109000	西苇镇	4
220323110000	河源镇	4
220323111000	黄岭子镇	4
220323200000	新兴乡	4
220323201000	莫里青乡	4
220323202000	三道乡	4
220381000000	公主岭市	3
220381001000	河南街道	4
220381002000	河北街道	4
220381003000	东三街道	4
220381004000	岭东街道	4
220381005000	铁北街道	4
220381006000	岭西街道	4
220381007000	刘房子街道	4
220381008000	南崴子街道	4
220381009000	环岭街道	4
220381010000	苇子沟街道	4
220381100000	二十家子镇	4
220381101000	黑林子镇	4
220381102000	陶家屯镇	4
220381103000	范家屯镇	4
220381104000	响水镇	4
220381105000	大岭镇	4
220381106000	怀德镇	4
220381107000	双城堡镇	4
220381108000	双龙镇	4
220381109000	杨大城子镇	4
220381110000	毛城子镇	4
220381111000	玻璃城子镇	4
220381112000	朝阳坡镇	4
220381113000	大榆树镇	4
220381114000	秦家屯镇	4
220381115000	八屋镇	4
220381116000	十屋镇	4
220381117000	桑树台镇	4
220381200000	龙山乡	4
220381201000	永发乡	4
220381400000	省原种繁殖场	4
220381401000	四平农科院	4
220381402000	公主岭市种猪场	4
220381403000	十屋农场	4
220381404000	十屋种牛场	4
220381405000	创业农场	4
220381406000	公主岭市鹿场	4
220381407000	范家屯经济开发区	4
220382000000	双辽市	3
220382001000	郑家屯街道	4
220382002000	辽西街道	4
220382003000	辽南街道	4
220382004000	辽北街道	4
220382005000	辽东街道	4
220382006000	红旗街道	4
220382100000	茂林镇	4
220382101000	双山镇	4
220382102000	卧虎镇	4
220382103000	服先镇	4
220382104000	王奔镇	4
220382105000	玻璃山镇	4
220382106000	兴隆镇	4
220382107000	东明镇	4
220382200000	那木乡	4
220382201000	柳条乡	4
220382202000	新立乡	4
220382203000	永加乡	4
220382402000	双辽经济开发区	4
220400000000	辽源市	2
220401000000	市辖区	3
220402000000	龙山区	3
220402070000	辽源经济开发区特殊街道	4
220402100000	寿山镇	4
220402198000	区直辖村级区划	4
220402200000	工农乡	4
220403000000	西安区	3
220403100000	灯塔镇	4
220403198000	区直辖村级区划	4
220421000000	东丰县	3
220421100000	东丰镇	4
220421101000	大阳镇	4
220421102000	横道河镇	4
220421103000	那丹伯镇	4
220421104000	猴石镇	4
220421105000	杨木林镇	4
220421106000	小四平镇	4
220421107000	黄河镇	4
220421108000	拉拉河镇	4
220421109000	沙河镇	4
220421110000	南屯基镇	4
220421111000	大兴镇	4
220421200000	三合满族朝鲜族乡	4
220421201000	二龙山乡	4
220422000000	东辽县	3
220422100000	白泉镇	4
220422101000	渭津镇	4
220422102000	安石镇	4
220422103000	辽河源镇	4
220422104000	泉太镇	4
220422105000	建安镇	4
220422106000	安恕镇	4
220422107000	平岗镇	4
220422108000	云顶镇	4
220422200000	凌云乡	4
220422201000	甲山乡	4
220422202000	足民乡	4
220422203000	金州乡	4
220500000000	通化市	2
220501000000	市辖区	3
220502000000	东昌区	3
220502001000	东昌街道	4
220502002000	民主街道	4
220502003000	老站街道	4
220502004000	团结街道	4
220502005000	新站街道	4
220502006000	光明街道	4
220502007000	龙泉街道	4
220502008000	陆港街道	4
220502100000	金厂镇	4
220502120000	通化经济开发区特殊乡镇	4
220502200000	环通乡	4
220502201000	江东乡	4
220503000000	二道江区	3
220503001000	桃园街道	4
220503002000	东通化街道	4
220503100000	鸭园镇	4
220503101000	铁厂镇	4
220503102000	五道江镇	4
220503200000	二道江乡	4
220521000000	通化县	3
220521100000	快大茂镇	4
220521101000	二密镇	4
220521102000	果松镇	4
220521103000	石湖镇	4
220521104000	大安镇	4
220521105000	光华镇	4
220521106000	兴林镇	4
220521107000	英额布镇	4
220521108000	三棵榆树镇	4
220521109000	西江镇	4
220521120000	通化聚鑫经济开发区特殊乡镇	4
220521200000	富江乡	4
220521201000	四棚乡	4
220521202000	东来乡	4
220521203000	大泉源满族朝鲜族乡	4
220521204000	金斗朝鲜族满族乡	4
220521401000	东宝新村	4
220523000000	辉南县	3
220523001000	东凤街道	4
220523002000	朝辉街道	4
220523003000	西凤街道	4
220523100000	朝阳镇	4
220523101000	辉南镇	4
220523102000	样子哨镇	4
220523103000	杉松岗镇	4
220523104000	石道河镇	4
220523105000	辉发城镇	4
220523106000	抚民镇	4
220523107000	金川镇	4
220523108000	团林镇	4
220523109000	庆阳镇	4
220523200000	楼街朝鲜族乡	4
220523400000	辉南县经济技术开发区	4
220524000000	柳河县	3
220524001000	采胜街道	4
220524002000	中岗街道	4
220524003000	导航街道	4
220524100000	柳河镇	4
220524101000	三源浦朝鲜族镇	4
220524102000	五道沟镇	4
220524103000	驼腰岭镇	4
220524104000	孤山子镇	4
220524105000	圣水河子镇	4
220524106000	罗通山镇	4
220524107000	安口镇	4
220524108000	向阳镇	4
220524109000	红石镇	4
220524110000	凉水河子镇	4
220524111000	亨通镇	4
220524200000	柳南乡	4
220524201000	时家店乡	4
220524202000	姜家店朝鲜族乡	4
220581000000	梅河口市	3
220581001000	新华街道	4
220581002000	光明街道	4
220581070000	和平街道	4
220581071000	解放街道	4
220581072000	福民街道	4
220581100000	山城镇	4
220581101000	红梅镇	4
220581102000	海龙镇	4
220581103000	新合镇	4
220581104000	曙光镇	4
220581105000	中和镇	4
220581106000	黑山头镇	4
220581107000	水道镇	4
220581108000	进化镇	4
220581109000	一座营镇	4
220581110000	康大营镇	4
220581111000	牛心顶镇	4
220581112000	杏岭镇	4
220581113000	湾龙镇	4
220581114000	兴华镇	4
220581115000	双兴镇	4
220581201000	李炉乡	4
220581205000	小杨满族朝鲜族乡	4
220581206000	吉乐乡	4
220582000000	集安市	3
220582001000	团结街道	4
220582002000	黎明街道	4
220582003000	通胜街道	4
220582004000	城东街道	4
220582100000	青石镇	4
220582101000	榆林镇	4
220582102000	花甸镇	4
220582103000	头道镇	4
220582104000	清河镇	4
220582105000	台上镇	4
220582106000	财源镇	4
220582107000	大路镇	4
220582108000	太王镇	4
220582200000	麻线乡	4
220582201000	凉水朝鲜族乡	4
220600000000	白山市	2
220601000000	市辖区	3
220602000000	浑江区	3
220602001000	新建街道	4
220602002000	通沟街道	4
220602003000	东兴街道	4
220602004000	红旗街道	4
220602005000	城南街道	4
220602006000	江北街道	4
220602007000	河口街道	4
220602008000	板石街道	4
220602100000	七道江镇	4
220602101000	六道江镇	4
220602102000	红土崖镇	4
220602103000	三道沟镇	4
220605000000	江源区	3
220605001000	孙家堡子街道	4
220605002000	江源街道	4
220605003000	正岔街道	4
220605004000	城墙街道	4
220605102000	湾沟镇	4
220605103000	松树镇	4
220605104000	砟子镇	4
220605105000	石人镇	4
220605106000	大阳岔镇	4
220605107000	大石人镇	4
220621000000	抚松县	3
220621100000	抚松镇	4
220621101000	松江河镇	4
220621102000	泉阳镇	4
220621103000	露水河镇	4
220621104000	仙人桥镇	4
220621105000	万良镇	4
220621106000	新屯子镇	4
220621107000	东岗镇	4
220621108000	漫江镇	4
220621109000	北岗镇	4
220621110000	兴参镇	4
220621120000	长白山保护开发区池西区特殊乡镇	4
220621121000	长白山保护开发区池南区特殊乡镇	4
220621200000	兴隆乡	4
220621201000	抽水乡	4
220621202000	沿江乡	4
220621407000	抚松工业集中区	4
220622000000	靖宇县	3
220622100000	靖宇镇	4
220622101000	三道湖镇	4
220622102000	龙泉镇	4
220622103000	那尔轰镇	4
220622104000	花园口镇	4
220622105000	景山镇	4
220622106000	赤松镇	4
220622201000	濛江乡	4
220623000000	长白朝鲜族自治县	3
220623100000	长白镇	4
220623101000	八道沟镇	4
220623102000	十四道沟镇	4
220623103000	马鹿沟镇	4
220623104000	宝泉山镇	4
220623105000	新房子镇	4
220623106000	十二道沟镇	4
220623200000	金华乡	4
220681000000	临江市	3
220681001000	建国街道	4
220681002000	新市街道	4
220681003000	兴隆街道	4
220681004000	大湖街道	4
220681005000	森工街道	4
220681006000	大栗子街道	4
220681100000	桦树镇	4
220681101000	六道沟镇	4
220681102000	苇沙河镇	4
220681103000	花山镇	4
220681104000	闹枝镇	4
220681105000	四道沟镇	4
220681200000	蚂蚁河乡	4
220681400000	临江经济开发区	4
220700000000	松原市	2
220701000000	市辖区	3
220702000000	宁江区	3
220702001000	团结街道	4
220702002000	文化街道	4
220702003000	民主街道	4
220702004000	临江街道	4
220702005000	新区街道	4
220702006000	前进街道	4
220702007000	和平街道	4
220702008000	工农街道	4
220702009000	沿江街道	4
220702010000	铁西街道	4
220702011000	繁荣街道	4
220702012000	建设街道	4
220702013000	石化街道	4
220702014000	伯都讷街道	4
220702015000	长宁街道	4
220702016000	滨江街道	4
220702017000	镜湖街道	4
220702100000	大洼镇	4
220702101000	善友镇	4
220702102000	毛都站镇	4
220702103000	哈达山镇	4
220702200000	新城乡	4
220702202000	伯都乡	4
220702400000	华侨农场	4
220702401000	大洼商业渔场	4
