500000  重庆市	1
500112007000	鸳鸯街道	4
500112008000	翠云街道	4
500112009000	人和街道	4
500112010000	天宫殿街道	4
500112011000	龙溪街道	4
500112012000	龙山街道	4
500112013000	龙塔街道	4
500112014000	大竹林街道	4
500112015000	悦来街道	4
500112016000	两路街道	4
500112017000	双凤桥街道	4
500112018000	王家街道	4
500112019000	礼嘉街道	4
500112020000	宝圣湖街道	4
500112021000	金山街道	4
500112022000	康美街道	4
500112023000	仙桃街道	4
500112129000	玉峰山镇	4
500112131000	龙兴镇	4
500112133000	统景镇	4
500112135000	大湾镇	4
500112138000	兴隆镇	4
500112139000	木耳镇	4
500112140000	茨竹镇	4
500112141000	古路镇	4
500112142000	石船镇	4
500112143000	大盛镇	4
500112144000	洛碛镇	4
500113000000	巴南区	3
500113003000	龙洲湾街道	4
500113004000	鱼洞街道	4
500113005000	花溪街道	4
500113006000	李家沱街道	4
500113007000	南泉街道	4
500113008000	一品街道	4
500113009000	南彭街道	4
500113010000	惠民街道	4
500113103000	界石镇	4
500113107000	安澜镇	4
500113108000	圣灯山镇	4
500113109000	木洞镇	4
500113110000	双河口镇	4
500113111000	麻柳嘴镇	4
500113112000	丰盛镇	4
500113113000	二圣镇	4
500113114000	东温泉镇	4
500113115000	姜家镇	4
500113116000	天星寺镇	4
500113117000	接龙镇	4
500113118000	石滩镇	4
500113119000	石龙镇	4
500114000000	黔江区	3
500114001000	城东街道	4
500114002000	城南街道	4
500114003000	城西街道	4
500114004000	正阳街道	4
500114005000	舟白街道	4
500114006000	冯家街道	4
500114105000	阿蓬江镇	4
500114106000	石会镇	4
500114107000	黑溪镇	4
500114108000	黄溪镇	4
500114109000	黎水镇	4
500114110000	金溪镇	4
500114111000	马喇镇	4
500114112000	濯水镇	4
500114113000	石家镇	4
500114114000	鹅池镇	4
500114117000	小南海镇	4
500114119000	邻鄂镇	4
500114120000	白石镇	4
500114121000	中塘镇	4
500114122000	沙坝镇	4
500114246000	蓬东乡	4
500114249000	杉岭乡	4
500114250000	太极乡	4
500114251000	水田乡	4
500114252000	白土乡	4
500114253000	金洞乡	4
500114254000	五里乡	4
500114255000	水市乡	4
500114256000	新华乡	4
500115000000	长寿区	3
500115001000	凤城街道	4
500115002000	晏家街道	4
500115003000	江南街道	4
500115004000	渡舟街道	4
500115005000	新市街道	4
500115006000	八颗街道	4
500115007000	菩提街道	4
500115123000	邻封镇	4
500115124000	但渡镇	4
500115125000	云集镇	4
500115126000	长寿湖镇	4
500115127000	双龙镇	4
500115128000	龙河镇	4
500115129000	石堰镇	4
500115130000	云台镇	4
500115131000	海棠镇	4
500115132000	葛兰镇	4
500115136000	洪湖镇	4
500115137000	万顺镇	4
500116000000	江津区	3
500116001000	几江街道	4
500116002000	德感街道	4
500116004000	双福街道	4
500116005000	鼎山街道	4
500116006000	圣泉街道	4
500116101000	油溪镇	4
500116102000	吴滩镇	4
500116103000	石门镇	4
500116104000	朱杨镇	4
500116105000	石蟆镇	4
500116106000	永兴镇	4
500116107000	塘河镇	4
500116108000	白沙镇	4
500116109000	龙华镇	4
500116110000	李市镇	4
500116111000	慈云镇	4
500116112000	蔡家镇	4
500116113000	中山镇	4
500116114000	嘉平镇	4
500116115000	柏林镇	4
500116116000	先锋镇	4
500116117000	珞璜镇	4
500116118000	贾嗣镇	4
500116119000	夏坝镇	4
500116120000	西湖镇	4
500116121000	杜市镇	4
500116122000	广兴镇	4
500116123000	四面山镇	4
500116124000	支坪镇	4
500116125000	四屏镇	4
500117000000	合川区	3
500117001000	合阳城街道	4
500117002000	钓鱼城街道	4
500117003000	南津街街道	4
500117004000	盐井街道	4
500117005000	草街街道	4
500117006000	云门街道	4
500117007000	大石街道	4
500117100000	沙鱼镇	4
500117101000	官渡镇	4
500117102000	涞滩镇	4
500117103000	肖家镇	4
500117104000	古楼镇	4
500117105000	三庙镇	4
500117106000	二郎镇	4
500117107000	龙凤镇	4
500117108000	隆兴镇	4
500117109000	铜溪镇	4
500117112000	双凤镇	4
500117113000	狮滩镇	4
500117114000	清平镇	4
500117115000	土场镇	4
500117116000	小沔镇	4
500117117000	三汇镇	4
500117118000	香龙镇	4
500117120000	钱塘镇	4
500117121000	龙市镇	4
500117123000	燕窝镇	4
500117124000	太和镇	4
500117125000	渭沱镇	4
500117126000	双槐镇	4
500118000000	永川区	3
500118001000	中山路街道	4
500118002000	胜利路街道	4
500118003000	南大街街道	4
500118004000	茶山竹海街道	4
500118005000	大安街道	4
500118006000	陈食街道	4
500118007000	卫星湖街道	4
500118100000	青峰镇	4
500118102000	金龙镇	4
500118104000	临江镇	4
500118106000	何埂镇	4
500118107000	松溉镇	4
500118108000	仙龙镇	4
500118109000	吉安镇	4
500118110000	五间镇	4
500118111000	来苏镇	4
500118112000	宝峰镇	4
500118113000	双石镇	4
500118114000	红炉镇	4
500118115000	永荣镇	4
500118116000	三教镇	4
500118117000	板桥镇	4
500118118000	朱沱镇	4
500119000000	南川区	3
500119001000	东城街道	4
500119002000	南城街道	4
500119003000	西城街道	4
500119100000	三泉镇	4
500119101000	南平镇	4
500119102000	神童镇	4
500119103000	鸣玉镇	4
500119104000	大观镇	4
500119105000	兴隆镇	4
500119106000	太平场镇	4
500119107000	白沙镇	4
500119108000	水江镇	4
500119109000	石墙镇	4
500119110000	金山镇	4
500119111000	头渡镇	4
500119112000	大有镇	4
500119113000	合溪镇	4
500119114000	黎香湖镇	4
500119115000	山王坪镇	4
500119116000	木凉镇	4
500119117000	楠竹山镇	4
500119118000	石溪镇	4
500119119000	德隆镇	4
500119120000	民主镇	4
500119121000	福寿镇	4
500119122000	河图镇	4
500119123000	庆元镇	4
500119124000	古花镇	4
500119125000	石莲镇	4
500119126000	乾丰镇	4
500119127000	骑龙镇	4
500119128000	冷水关镇	4
500119207000	中桥乡	4
500119212000	峰岩乡	4
500120000000	璧山区	3
500120001000	璧城街道	4
500120002000	璧泉街道	4
500120003000	青杠街道	4
500120004000	来凤街道	4
500120005000	丁家街道	4
500120006000	大路街道	4
500120100000	八塘镇	4
500120101000	七塘镇	4
500120102000	河边镇	4
500120103000	福禄镇	4
500120104000	大兴镇	4
500120105000	正兴镇	4
500120106000	广普镇	4
500120107000	三合镇	4
500120108000	健龙镇	4
500151000000	铜梁区	3
500151001000	巴川街道	4
500151002000	东城街道	4
500151003000	南城街道	4
500151004000	蒲吕街道	4
500151005000	旧县街道	4
500151101000	土桥镇	4
500151103000	二坪镇	4
500151104000	水口镇	4
500151105000	安居镇	4
500151106000	白羊镇	4
500151107000	平滩镇	4
500151108000	小林镇	4
500151109000	双山镇	4
500151110000	虎峰镇	4
500151111000	石鱼镇	4
500151112000	福果镇	4
500151113000	庆隆镇	4
500151114000	少云镇	4
500151115000	维新镇	4
500151116000	高楼镇	4
500151117000	大庙镇	4
500151118000	围龙镇	4
500151119000	华兴镇	4
500151120000	永嘉镇	4
500151121000	安溪镇	4
500151122000	西河镇	4
500151123000	侣俸镇	4
500151124000	太平镇	4
500152000000	潼南区	3
500152001000	桂林街道	4
500152002000	梓潼街道	4
500152101000	上和镇	4
500152102000	龙形镇	4
500152103000	古溪镇	4
500152104000	宝龙镇	4
500152107000	玉溪镇	4
500152108000	米心镇	4
500152109000	群力镇	4
500152110000	双江镇	4
500152112000	花岩镇	4
500152113000	柏梓镇	4
500152114000	崇龛镇	4
500152115000	塘坝镇	4
500152116000	新胜镇	4
500152117000	太安镇	4
500152119000	小渡镇	4
500152120000	卧佛镇	4
500152121000	五桂镇	4
500152122000	田家镇	4
500152123000	别口镇	4
500152124000	寿桥镇	4
500153000000	荣昌区	3
500153001000	昌元街道	4
500153002000	昌州街道	4
500153003000	广顺街道	4
500153004000	双河街道	4
500153005000	安富街道	4
500153006000	峰高街道	4
500153100000	荣隆镇	4
500153101000	仁义镇	4
500153102000	盘龙镇	4
500153103000	吴家镇	4
500153104000	直升镇	4
500153105000	万灵镇	4
500153106000	清升镇	4
500153107000	清江镇	4
500153108000	古昌镇	4
500153109000	河包镇	4
500153110000	观胜镇	4
500153111000	铜鼓镇	4
500153112000	清流镇	4
500153113000	远觉镇	4
500153114000	龙集镇	4
500154000000	开州区	3
500154001000	汉丰街道	4
500154002000	文峰街道	4
500154003000	云枫街道	4
500154004000	镇东街道	4
500154005000	丰乐街道	4
500154006000	白鹤街道	4
500154007000	赵家街道	4
500154100000	大德镇	4
500154101000	镇安镇	4
500154102000	厚坝镇	4
500154103000	金峰镇	4
500154104000	温泉镇	4
500154105000	郭家镇	4
500154106000	白桥镇	4
500154107000	和谦镇	4
500154108000	河堰镇	4
500154109000	大进镇	4
500154110000	谭家镇	4
500154111000	敦好镇	4
500154112000	高桥镇	4
500154113000	九龙山镇	4
500154114000	天和镇	4
500154115000	中和镇	4
500154116000	义和镇	4
500154117000	临江镇	4
500154118000	竹溪镇	4
500154119000	铁桥镇	4
500154120000	南雅镇	4
500154121000	巫山镇	4
500154122000	岳溪镇	4
500154123000	长沙镇	4
500154124000	南门镇	4
500154125000	渠口镇	4
500154126000	满月镇	4
500154127000	雪宝山镇	4
500154201000	关面乡	4
500154203000	麻柳乡	4
500154204000	紫水乡	4
500154205000	三汇口乡	4
500154206000	五通乡	4
500155000000	梁平区	3
500155001000	梁山街道	4
500155002000	双桂街道	4
500155101000	仁贤镇	4
500155102000	礼让镇	4
500155103000	云龙镇	4
500155104000	屏锦镇	4
500155106000	袁驿镇	4
500155107000	新盛镇	4
500155108000	福禄镇	4
500155109000	金带镇	4
500155110000	聚奎镇	4
500155111000	明达镇	4
500155112000	荫平镇	4
500155113000	和林镇	4
500155114000	回龙镇	4
500155115000	碧山镇	4
500155116000	虎城镇	4
500155117000	七星镇	4
500155118000	龙门镇	4
500155119000	文化镇	4
500155120000	合兴镇	4
500155121000	石安镇	4
500155122000	柏家镇	4
500155123000	大观镇	4
500155124000	竹山镇	4
500155125000	蟠龙镇	4
500155126000	星桥镇	4
500155127000	曲水镇	4
500155128000	安胜镇	4
500155129000	复平镇	4
500155130000	紫照镇	4
500155201000	铁门乡	4
500155202000	龙胜乡	4
500156000000	武隆区	3
500156001000	凤山街道	4
500156002000	芙蓉街道	4
500156101000	白马镇	4
500156102000	江口镇	4
500156103000	仙女山镇	4
500156104000	火炉镇	4
500156105000	鸭江镇	4
500156106000	羊角镇	4
500156107000	长坝镇	4
500156108000	平桥镇	4
500156109000	桐梓镇	4
500156110000	土坎镇	4
500156111000	和顺镇	4
500156112000	双河镇	4
500156200000	凤来乡	4
500156201000	庙垭乡	4
500156202000	石桥苗族土家族乡	4
500156203000	黄莺乡	4
500156204000	沧沟乡	4
500156205000	文复苗族土家族乡	4
500156206000	土地乡	4
500156207000	白云乡	4
500156208000	后坪苗族土家族乡	4
500156209000	浩口苗族仡佬族乡	4
500156210000	接龙乡	4
500156211000	赵家乡	4
500156212000	大洞河乡	4
500200000000	县	2
500229000000	城口县	3
500229001000	葛城街道	4
500229002000	复兴街道	4
500229102000	巴山镇	4
500229103000	坪坝镇	4
500229104000	庙坝镇	4
500229105000	明通镇	4
500229106000	修齐镇	4
500229107000	高观镇	4
500229108000	高燕镇	4
500229109000	东安镇	4
500229110000	咸宜镇	4
500229111000	高楠镇	4
500229201000	龙田乡	4
500229202000	北屏乡	4
500229205000	左岚乡	4
500229208000	沿河乡	4
500229210000	双河乡	4
500229211000	蓼子乡	4
500229212000	鸡鸣乡	4
500229214000	周溪乡	4
500229216000	明中乡	4
500229217000	治平乡	4
500229219000	岚天乡	4
500229220000	厚坪乡	4
500229221000	河鱼乡	4
500230000000	丰都县	3
500230001000	三合街道	4
500230002000	名山街道	4
500230101000	虎威镇	4
500230102000	社坛镇	4
500230103000	三元镇	4
500230104000	许明寺镇	4
500230105000	董家镇	4
500230106000	树人镇	4
500230107000	十直镇	4
500230109000	高家镇	4
500230110000	兴义镇	4
500230111000	双路镇	4
500230112000	江池镇	4
500230113000	龙河镇	4
500230114000	武平镇	4
500230115000	包鸾镇	4
500230116000	湛普镇	4
500230118000	南天湖镇	4
500230119000	保合镇	4
500230120000	兴龙镇	4
500230121000	仁沙镇	4
500230122000	龙孔镇	4
500230123000	暨龙镇	4
500230124000	双龙镇	4
500230125000	仙女湖镇	4
500230202000	青龙乡	4
500230206000	太平坝乡	4
500230207000	都督乡	4
500230209000	栗子乡	4
500230210000	三建乡	4
500231000000	垫江县	3
500231001000	桂溪街道	4
500231002000	桂阳街道	4
500231101000	新民镇	4
500231102000	沙坪镇	4
500231103000	周嘉镇	4
500231104000	普顺镇	4
500231105000	永安镇	4
500231106000	高安镇	4
500231107000	高峰镇	4
500231108000	五洞镇	4
500231109000	澄溪镇	4
500231110000	太平镇	4
500231111000	鹤游镇	4
500231112000	坪山镇	4
500231113000	砚台镇	4
500231114000	曹回镇	4
500231115000	杠家镇	4
500231116000	包家镇	4
500231117000	白家镇	4
500231118000	永平镇	4
500231119000	三溪镇	4
500231120000	裴兴镇	4
500231121000	黄沙镇	4
500231122000	长龙镇	4
500231202000	沙河乡	4
500231204000	大石乡	4
